iter	RMSE
0	96861009.37
1	96034551.89
2	95658168.43
3	95305721.8
4	93958981.31
5	93648597.84
6	92392445.1
7	90082633.94
8	89815846.56
9	87570450.36
10	87326235.57
11	85143079.65
12	82840404.18
13	80769394.05
14	78750159.16
15	76781405.16
16	74861870
17	72990323.22
18	71165565.11
19	69386425.96
20	67651765.28
21	65825858.64
22	64180212.15
23	62575706.82
24	61011314.12
25	59486031.25
26	57998880.45
27	56548908.41
28	55135185.68
29	53756806.02
30	52412885.85
31	51102563.68
32	49824999.57
33	48579374.56
34	47364890.18
35	46180767.91
36	44936843.34
37	43813422.24
38	42718086.67
39	41569680.88
40	40530438.85
41	39517177.86
42	38529248.4
43	37566017.18
44	36626866.73
45	35711195.05
46	34818415.16
47	33947954.77
48	33099255.89
49	32271774.48
50	31405861.71
51	30620715.16
52	29855197.27
53	29108817.33
54	28381096.88
55	27671569.45
56	26979780.2
57	26305285.69
58	25647653.54
59	25006462.19
60	24381300.62
61	23771768.1
62	23177473.89
63	22598037.03
64	22033086.1
65	21482258.94
66	20945202.46
67	20421572.39
68	19911033.07
69	19413257.24
70	18927925.8
71	18454727.65
72	17993359.45
73	17543525.45
74	17104937.31
75	16677313.87
76	16260381.02
77	15853871.49
78	15457524.69
79	15071086.57
80	14694309.4
81	14326951.66
82	13968777.86
83	13619558.41
84	13279069.45
85	12947092.71
86	12623415.38
87	12307829.99
88	12000134.24
89	11700130.88
90	11407627.6
91	11122436.91
92	10844375.98
93	10573266.58
94	10308934.91
95	10051211.53
96	9799931.241
97	9554932.957
98	9316059.629
99	9083158.135
