iter	Passed	Remaining
0	2	203
1	6	303
2	7	249
3	9	238
4	12	234
5	13	211
6	15	201
7	17	200
8	20	210
9	22	206
10	25	204
11	27	200
12	29	197
13	31	194
14	34	196
15	37	194
16	38	188
17	41	188
18	43	185
19	45	182
20	47	180
21	50	179
22	53	178
23	55	176
24	57	173
25	60	171
26	62	169
27	65	167
28	68	166
29	70	165
30	73	163
31	75	160
32	78	158
33	80	156
34	83	155
35	85	152
36	88	150
37	90	147
38	92	145
39	94	142
40	98	141
41	100	139
42	103	136
43	105	134
44	108	132
45	110	129
46	113	127
47	116	126
48	119	124
49	121	121
50	123	118
51	126	116
52	128	114
53	131	112
54	134	110
55	136	107
56	139	104
57	140	102
58	144	100
59	147	98
60	149	95
61	151	92
62	154	90
63	156	88
64	159	85
65	162	83
66	165	81
67	168	79
68	170	76
69	173	74
70	177	72
71	179	69
72	182	67
73	184	64
74	186	62
75	189	59
76	192	57
77	195	55
78	197	52
79	199	49
80	202	47
81	205	45
82	208	42
83	211	40
84	214	37
85	217	35
86	219	32
87	222	30
88	225	27
89	228	25
90	230	22
91	233	20
92	235	17
93	238	15
94	241	12
95	243	10
96	246	7
97	247	5
98	249	2
99	252	0
