iter	Passed	Remaining
0	58	5796
1	64	3176
2	70	2269
3	74	1783
4	78	1500
5	82	1297
6	87	1160
7	90	1036
8	93	945
9	96	866
10	98	800
11	101	747
12	104	697
13	106	652
14	108	617
15	111	584
16	113	554
17	115	526
18	117	502
19	119	479
20	121	458
21	123	438
22	126	422
23	128	407
24	130	392
25	132	377
26	134	363
27	136	351
28	138	338
29	140	327
30	143	319
31	146	310
32	148	301
33	150	292
34	152	283
35	154	275
36	157	267
37	159	261
38	162	254
39	164	246
40	166	240
41	169	233
42	171	226
43	173	221
44	176	216
45	179	210
46	182	205
47	184	200
48	187	194
49	189	189
50	192	184
51	195	180
52	197	174
53	199	170
54	201	165
55	203	159
56	205	155
57	208	150
58	210	146
59	212	141
60	214	137
61	216	132
62	218	128
63	220	124
64	222	119
65	225	115
66	227	112
67	229	108
68	231	104
69	233	100
70	235	96
71	237	92
72	240	88
73	242	85
74	245	81
75	247	78
76	249	74
77	251	70
78	253	67
79	255	63
80	257	60
81	260	57
82	262	53
83	264	50
84	266	47
85	269	43
86	271	40
87	273	37
88	275	34
89	277	30
90	279	27
91	281	24
92	283	21
93	285	18
94	288	15
95	290	12
96	293	9
97	295	6
98	298	3
99	300	0
