iter	RMSE
0	97837939.99
1	96158857.6
2	94634951.44
3	93422918.05
4	92486261.15
5	91642959.61
6	90973374.93
7	90325674.99
8	89749937.89
9	89234941.84
10	88867401.89
11	88464514.89
12	88137551.13
13	87905698.52
14	87702520.7
15	87464811.49
16	87267152.24
17	87128222.29
18	87007919.88
19	86922533.16
20	86812827.97
21	86687960.69
22	86575459.94
23	86522698.79
24	86437017.32
25	86386056.78
26	86302776.68
27	86286231.13
28	86185910.96
29	86087130.87
30	86080753.78
31	86056579.08
32	85997375.37
33	85974662.85
34	85956808.52
35	85896517.66
36	85860808.25
37	85792095.21
38	85735195.56
39	85664042.25
40	85613073.72
41	85587587.27
42	85579745.7
43	85537389.97
44	85494866.74
45	85477141.66
46	85472510.08
47	85464832.34
48	85433115.38
49	85407325.69
50	85386039.36
51	85352307.02
52	85325331.66
53	85267551.69
54	85240187.21
55	85217914.89
56	85147626.97
57	85085710.47
58	85055686.24
59	85026999.23
60	85014900.54
61	84996646.96
62	84948307.89
63	84909474.24
64	84872673.45
65	84863587.33
66	84841175.14
67	84828039.91
68	84790007.87
69	84787226.75
70	84782964.91
71	84748052.82
72	84682132.79
73	84615639.42
74	84547923.83
75	84508332.39
76	84479029.07
77	84445416.1
78	84407592.56
79	84404087.36
80	84361734.71
81	84310210.11
82	84286401.45
83	84277628.17
84	84233315.74
85	84206842.52
86	84146865.44
87	84121496.12
88	84111371.71
89	84045386.7
90	83990259.77
91	83946408.43
92	83899781.01
93	83857316.6
94	83829968.64
95	83793648.23
96	83752165.56
97	83728894.25
98	83691555.77
99	83649382.75
