TCP: bbr, Imputação: interpolacao-linear, Link: ba-ap, Modelo: LSTM, RMSE: 28.46194452439829, tamanho:75
TCP: bbr, Imputação: media-movel, Link: ba-ap, Modelo: LSTM, RMSE: 30.000070493955125, tamanho:75
TCP: bbr, Imputação: interpolacao-linear, Link: ap-ba, Modelo: GRU, RMSE: 39.63803681182803, tamanho:75
TCP: cubic, Imputação: interpolacao-linear, Link: es-rs, Modelo: GRU, RMSE: 163.5233949302236, tamanho:99
TCP: cubic, Imputação: knn, Link: ba-ap, Modelo: LSTM, RMSE: 70.72102242432862, tamanho:85
TCP: bbr, Imputação: knn, Link: ba-rj, Modelo: GRU, RMSE: 966.4213638543401, tamanho:97
TCP: cubic, Imputação: knn, Link: ap-ba, Modelo: LSTM, RMSE: 168.16553502313468, tamanho:72
TCP: cubic, Imputação: knn, Link: es-ap, Modelo: GRU, RMSE: 140.62107413683003, tamanho:93
TCP: bbr, Imputação: mediana-movel, Link: ap-ba, Modelo: GRU, RMSE: 43.00403632808164, tamanho:75
TCP: cubic, Imputação: mediana-movel, Link: es-rs, Modelo: GRU, RMSE: 164.06240888817084, tamanho:99
TCP: cubic, Imputação: mediana-movel, Link: es-ap, Modelo: GRU, RMSE: 139.14077452393218, tamanho:93
TCP: bbr, Imputação: knn, Link: ba-ap, Modelo: LSTM, RMSE: 27.838497344754888, tamanho:75
TCP: cubic, Imputação: media-movel, Link: ba-rj, Modelo: GRU, RMSE: 801.2185918912946, tamanho:83
TCP: cubic, Imputação: media-movel, Link: es-ap, Modelo: LSTM, RMSE: 145.9715874827416, tamanho:93
TCP: cubic, Imputação: knn, Link: ba-rj, Modelo: GRU, RMSE: 796.4167097417843, tamanho:83
TCP: bbr, Imputação: media-movel, Link: ba-rj, Modelo: GRU, RMSE: 939.004418339685, tamanho:97
TCP: bbr, Imputação: knn, Link: ba-ap, Modelo: GRU, RMSE: 28.299000762502324, tamanho:75
TCP: bbr, Imputação: mediana-movel, Link: ap-ba, Modelo: LSTM, RMSE: 43.37922800305587, tamanho:75
